id,lat,lon,name,street_no,street_name,street_type,suburb,postcode,sport,type,field_surface,lga,address
"MARIBY8472",-37.7768,144.886664,"Maribyrnong Aquatic Centre",1,"Aquatic","Drive","MARIBYRNONG","3032","Fitness / Gymnasium Workouts","indoor","NA","MARIBYRNONG","1 Aquatic Drive, MARIBYRNONG 3032"
"MARIBY8472",-37.7768,144.886664,"Maribyrnong Aquatic Centre",1,"Aquatic","Drive","MARIBYRNONG","3032","Swimming","outdoor","50m Pool - Outdoor, Rehabilitation Pool, Spa/Sauna","MARIBYRNONG","1 Aquatic Drive, MARIBYRNONG 3032"
"MOONEE9401",-37.718403,144.909443,"Strathnaver Reserve",1,"Boeing","Road","STRATHMORE HEIGHTS","3041","Cricket","outdoor","Synthetic Pitch","MOONEE VALLEY","1 Boeing Road, STRATHMORE HEIGHTS 3041"
"MOONEE9401",-37.718403,144.909443,"Strathnaver Reserve",1,"Boeing","Road","STRATHMORE HEIGHTS","3041","Soccer","outdoor","Grass","MOONEE VALLEY","1 Boeing Road, STRATHMORE HEIGHTS 3041"
"MORELA13035",-37.719862,144.911254,"JP Fawkner Reserve",1,"Francis","Street","OAK PARK","3046","Cricket","outdoor","Turf Pitch","MORELAND","1 Francis Street, OAK PARK 3046"
"MORELA13035",-37.719862,144.911254,"JP Fawkner Reserve",1,"Francis","Street","OAK PARK","3046","Football","outdoor","Grass","MORELAND","1 Francis Street, OAK PARK 3046"
"NILLUM11032",-37.672239,145.155059,"Coventry Oval",1,"Elizabeth","Street","DIAMOND CREEK","3089","Cricket","outdoor","Synthetic Pitch","NILLUMBIK","1 Elizabeth Street, DIAMOND CREEK 3089"
"NILLUM11032",-37.672239,145.155059,"Coventry Oval",1,"Elizabeth","Street","DIAMOND CREEK","3089","Football","outdoor","Grass","NILLUMBIK","1 Elizabeth Street, DIAMOND CREEK 3089"
"NILLUM11032",-37.672239,145.155059,"Coventry Oval",1,"Elizabeth","Street","DIAMOND CREEK","3089","Skating","outdoor","NA","NILLUMBIK","1 Elizabeth Street, DIAMOND CREEK 3089"
"NILLUM11037",-37.674445,145.152371,"Diamond Creek Netball Reserve",1,"Diamond","Street","DIAMOND CREEK","3089","Netball","outdoor","Asphalt","NILLUMBIK","1 Diamond Street, DIAMOND CREEK 3089"
"NILLUM11037",-37.674445,145.152371,"Diamond Creek Netball Reserve",1,"Diamond","Street","DIAMOND CREEK","3089","Netball","outdoor","Synthetic","NILLUMBIK","1 Diamond Street, DIAMOND CREEK 3089"
"NILLUM11035",-37.672086,145.157212,"Diamond Creek Outdoor Heated Pool",1,"Elizabeth","Street","DIAMOND CREEK","3089","Swimming","outdoor","25m Pool - Outdoor, Toddlers Pool","NILLUMBIK","1 Elizabeth Street, DIAMOND CREEK 3089"
"MANNIN11028",-37.758454,145.128607,"Templestowe Leisure Centre",1,"Anderson","Street","TEMPLESTOWE","3106","Basketball","indoor","Wooden Gymnasium","MANNINGHAM","1 Anderson Street, TEMPLESTOWE 3106"
"MANNIN11028",-37.758454,145.128607,"Templestowe Leisure Centre",1,"Anderson","Street","TEMPLESTOWE","3106","Netball","outdoor","Asphalt","MANNINGHAM","1 Anderson Street, TEMPLESTOWE 3106"
"KNOXCI8596",-37.911,145.244,"Melbourne Taekwondo Centre",1,"Laser","Drive","ROWVILLE","3178","Martial Arts","indoor","NA","KNOX","1 Laser Drive, ROWVILLE 3178"
"GLENEI11207",-37.920749,145.042871,"Bentleigh Hodgson Recreation Reserve",1,"Arthur","Street","BENTLEIGH","3204","Cricket","outdoor","Turf Pitch","GLEN EIRA","1 Arthur Street, BENTLEIGH 3204"
"GLENEI11207",-37.920749,145.042871,"Bentleigh Hodgson Recreation Reserve",1,"Arthur","Street","BENTLEIGH","3204","Football","outdoor","Grass","GLEN EIRA","1 Arthur Street, BENTLEIGH 3204"
"GLENEI11207",-37.920749,145.042871,"Bentleigh Hodgson Recreation Reserve",1,"Arthur","Street","BENTLEIGH","3204","Playground","outdoor",,"GLEN EIRA","1 Arthur Street, BENTLEIGH 3204"
"GLENEI11207",-37.920749,145.042871,"Bentleigh Hodgson Recreation Reserve",1,"Arthur","Street","BENTLEIGH","3204","Soccer","outdoor","Grass","GLEN EIRA","1 Arthur Street, BENTLEIGH 3204"
"GLENEI11207",-37.920749,145.042871,"Bentleigh Hodgson Recreation Reserve",1,"Arthur","Street","BENTLEIGH","3204","Tennis","outdoor","Hard Court","GLEN EIRA","1 Arthur Street, BENTLEIGH 3204"
"GLENEI11211",-37.923462,145.041804,"St Pauls (Bentleigh) Tennis Club",1,"Riddle","Street","BENTLEIGH","3204","Tennis","outdoor","Clay","GLEN EIRA","1 Riddle Street, BENTLEIGH 3204"
"MORNIN11190",-38.428202,145.045257,"Shoreham Tennis Club",1,"Steen","Avenue","SHOREHAM","3916","Tennis","outdoor","Artificial Turf","MORNINGTON PENINSULA","1 Steen Avenue, SHOREHAM 3916"
"MORNIN11130",-38.370817,145.207759,"HMAS Cerberus Golf Course",1,"Cook","Road","CRIB POINT","3919","Golf","outdoor","9 Hole Course - Public","MORNINGTON PENINSULA","1 Cook Road, CRIB POINT 3919"
"MORNIN11139",-38.478858,145.021633,"Flinders Golf Course",1,"Bass","Street","FLINDERS","3929","Golf","outdoor","18 Hole Course - Public","MORNINGTON PENINSULA","1 Bass Street, FLINDERS 3929"
"MORNIN11139",-38.478858,145.021633,"Flinders Golf Course",1,"Bass","Street","FLINDERS","3929","Lawn Bowls","outdoor","Grass","MORNINGTON PENINSULA","1 Bass Street, FLINDERS 3929"
"MORNIN11182",-38.37052,144.926182,"Rosebud Public Golf Course & Tennis Club",1,"Elizabeth","Drive","ROSEBUD","3939","Golf","outdoor","18 Hole Course - Public","MORNINGTON PENINSULA","1 Elizabeth Drive, ROSEBUD 3939"
"MORNIN11182",-38.37052,144.926182,"Rosebud Public Golf Course & Tennis Club",1,"Elizabeth","Drive","ROSEBUD","3939","Tennis","outdoor","Hard Court","MORNINGTON PENINSULA","1 Elizabeth Drive, ROSEBUD 3939"
"MORNIN11178",-38.320504,144.706912,"Portsea Golf Course",1,"Relph","Avenue","PORTSEA","3944","Golf","outdoor","18 Hole Course - Public","MORNINGTON PENINSULA","1 Relph Avenue, PORTSEA 3944"
"BRIMBA8329",-37.781009,144.825909,"Barclay Reserve",2,"Talmage","Street","ALBION","3020","Baseball","outdoor","NA","BRIMBANK","2 Talmage Street, ALBION 3020"
"HOBSON12925",-37.864903,144.782029,"A.B Shaw Reserve",2,"Hall","Avenue","ALTONA MEADOWS","3028","Cricket","outdoor","Synthetic Pitch","HOBSONS BAY","2 Hall Avenue, ALTONA MEADOWS 3028"
"HOBSON12925",-37.864903,144.782029,"A.B Shaw Reserve",2,"Hall","Avenue","ALTONA MEADOWS","3028","Cricket","outdoor","Turf Pitch","HOBSONS BAY","2 Hall Avenue, ALTONA MEADOWS 3028"
"HOBSON12925",-37.864903,144.782029,"A.B Shaw Reserve",2,"Hall","Avenue","ALTONA MEADOWS","3028","Football","outdoor","Grass","HOBSONS BAY","2 Hall Avenue, ALTONA MEADOWS 3028"
"HOBSON12925",-37.864903,144.782029,"A.B Shaw Reserve",2,"Hall","Avenue","ALTONA MEADOWS","3028","Soccer","outdoor","Grass","HOBSONS BAY","2 Hall Avenue, ALTONA MEADOWS 3028"
"HOBSON12925",-37.864903,144.782029,"A.B Shaw Reserve",2,"Hall","Avenue","ALTONA MEADOWS","3028","Tennis","outdoor","Artificial Turf, Hard Court","HOBSONS BAY","2 Hall Avenue, ALTONA MEADOWS 3028"
"MOONEE9370",-37.776742,144.935917,"Essendon Hockey Centre",2,"Hockey","Lane","ASCOT VALE","3032","Hockey","outdoor","Artificial Turf","MOONEE VALLEY","2 Hockey Lane, ASCOT VALE 3032"
"MOONEE9354",-37.768483,144.870675,"Canning Reserve",2,"Canning","Street","AVONDALE HEIGHTS","3034","Cricket","outdoor","Turf Pitch","MOONEE VALLEY","2 Canning Street, AVONDALE HEIGHTS 3034"
"MOONEE9354",-37.768483,144.870675,"Canning Reserve",2,"Canning","Street","AVONDALE HEIGHTS","3034","Football","outdoor","Grass","MOONEE VALLEY","2 Canning Street, AVONDALE HEIGHTS 3034"
"MOONEE9354",-37.768483,144.870675,"Canning Reserve",2,"Canning","Street","AVONDALE HEIGHTS","3034","Playground","outdoor",,"MOONEE VALLEY","2 Canning Street, AVONDALE HEIGHTS 3034"
