id,lat,lon,name,street_no,street_name,street_type,suburb,postcode,sport,type,field_surface,lga
MELBOU11032,-37.825312,144.965295,YMCA Docklands,100,Harbour,Esplanade,DOCKLANDS,3008,Fitness / Gymnasium Workouts,indoor,NA,MELBOURNE
MARIBY8447,-37.788284,144.889729,Action Indoor Sports,90,Gordon,Street,FOOTSCRAY,3011,Cricket,indoor,NA,MARIBYRNONG
MARIBY8447,-37.788284,144.889729,Action Indoor Sports,90,Gordon,Street,FOOTSCRAY,3011,Futsal,indoor,NA,MARIBYRNONG
MARIBY8447,-37.788284,144.889729,Action Indoor Sports,90,Gordon,Street,FOOTSCRAY,3011,Netball,indoor,NA,MARIBYRNONG
MARIBY8447,-37.788284,144.889729,Action Indoor Sports,90,Gordon,Street,FOOTSCRAY,3011,Volleyball,indoor,NA,MARIBYRNONG
MARIBY11467,-37.787921,144.889933,Flip 4 Fun,88,Gordon,Street,FOOTSCRAY,3011,Gymnastics,indoor,NA,MARIBYRNONG
MARIBY8457,-37.792242,144.902017,Footscray Park,NA,Maribyrnong,Boulevard,FOOTSCRAY,3011,Cricket,outdoor,Concrete Pitch,MARIBYRNONG
MARIBY8464,-37.79159,144.899676,Henry Turner South Reserve,NA,Farnsworth,Avenue,FOOTSCRAY,3011,Cricket,outdoor,Turf Pitch,MARIBYRNONG
MARIBY8464,-37.79159,144.899676,Henry Turner South Reserve,NA,Farnsworth,Avenue,FOOTSCRAY,3011,Rugby Union,outdoor,Grass,MARIBYRNONG
MARIBY8464,-37.79159,144.899676,Henry Turner South Reserve,NA,Farnsworth,Avenue,FOOTSCRAY,3011,Soccer,outdoor,Grass,MARIBYRNONG
MARIBY8464,-37.79159,144.899676,Henry Turner South Reserve,NA,Farnsworth,Avenue,FOOTSCRAY,3011,Tennis,outdoor,Plexipave,MARIBYRNONG
MARIBY8467,-37.794854,144.878587,Kevin Shorten Reserve,NA,Blandford,Street,FOOTSCRAY,3011,Cricket,outdoor,Turf Pitch,MARIBYRNONG
