category,product,energy_cal,protein_100g,fat_100g,saturated.fat_100g,sugars_100g,sodium_100g,size
burger,Big Mac(s),520,12.5,13.3,5.2,3,0.461,
burger,Quarter Pounder(s),543,16.2,14.6,7.6,3.6,0.511,
burger,McChicken(s),432,10.1,11.7,1.8,2.1,0.341,
burger,Filet-o-Fish(s),339,11.2,10.9,2.1,2.1,0.437,
burger,Cheeseburger(s),302,13.8,11.2,5.6,4.5,0.618,
sides,Gravy Loaded Fries,317,3.3,10.1,0.9,0.6,0.355,single sized
sides,Fries,206,4.6,14.4,1.2,0.2,0.269,pack(s) of small
sides,Hashbrown(s),141,2.3,14.7,1.2,0.3,0.613,
sides,Chicken McNugget(s),44,14.7,15.4,2.2,0.5,440,
drinks,Chocolate Shake(s),307,2.7,2.3,1.4,12.5,0.076,small
drinks,Strawberry Shake(s),296,2.3,2.1,1.3,12.1,0.056,small
drinks,Vanilla Shake(s),266,2.2,1.9,1.2,11.2,0.051,small
dessert,Hot Fudge Sundae(s),347,3.7,5.6,4,27.2,0.077,small
dessert,Caramel Sundae(s),342,3.4,5,3.3,24.5,0.079,small
dessert,Strawberry Sundae(s),288,3.4,3.9,2.6,26.2,0.045,small
dessert,Soft Serve Cone(s),146,4.4,5.2,3.2,19.1,0.061,
breakfast,Sausage McMuffin(s),302,14,13,6.8,1.6,0.566,
breakfast,Bacon&Egg McMuffin(s),296,12.4,9.9,4.4,1.4,0.521,
breakfast,Sausage&Egg McMuffin(s),376,13.5,12.5,5.7,1.2,0.42,
